Correct name with authors,Family,Order,Superorder,"Group (Dicot, Monocot, Gymnosperm, Fern)",Sample reference code,"Life cycle habit (annual, biennial, perennial)","Plant growth habit (aquatic, forb, graminoid,  herbaceous vine, liana, shrub, tree)",Nearctic,Neotropic,Palearctic,Afrotropic,Indo-Malay,Australasia,Oceania,Number of Biogeographic Realms,Tropical and Subtropical Moist Broadleaf Forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Coniferous Forests,Temperate Broadleaf and Mixed Forests,Temperate Coniferous Forests,Boreal Forests/Taiga,"Tropical and Subtropical Grasslands, Savannas, and Shrublands","Temperate Grasslands, Savannas, and Shrublands",Flooded Grasslands and Savannas,Montane Grasslands and Shrublands,Tundra,"Mediterranean Forests, Woodlands, and Scrub",Deserts and Xeric Shrublands,Mangroves,Number of Biomes,C (%),S (%),R (%)
Hyssopus officinalis L.,Lamiaceae,Lamiales,Asteranae,Dicot,Kleyer,perennial,shrub,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,13.31,29.08,57.62
Iberis sempervirens L.,Brassicaceae,Brassicales,Rosanae,Dicot,Cerabolini,perennial,shrub,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,24.74,66.07,9.19
Iberis umbellata L.,Brassicaceae,Brassicales,Rosanae,Dicot,Kleyer,annual,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,23.94,0.00,76.06
Ilex aquifolium L.,Aquifoliaceae,Aquifoliales,Asteranae,Dicot,Cerabolini/Pierce,perennial,tree,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,45.10,54.90,0.00
Illecebrum verticillatum L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Kleyer,annual,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0.00,0.00,100.00
Impatiens balfourii Hook. f.,Balsaminaceae,Ericales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,46.86,0.00,53.14
Impatiens capensis Meerb.,Balsaminaceae,Ericales,Asteranae,Dicot,Shipley,annual,forb,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4,31.49,21.81,46.70
Impatiens noli-tangere L.,Balsaminaceae,Ericales,Asteranae,Dicot,Wright,annual,forb,1,0,1,0,0,0,0,2,1,0,0,1,1,1,0,1,0,0,1,0,0,0,6,33.49,0.00,66.51
Impatiens pallida Nutt.,Balsaminaceae,Ericales,Asteranae,Dicot,Shipley,perennial,forb,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,11.93,56.59,31.48
Impatiens parviflora DC.,Balsaminaceae,Ericales,Asteranae,Dicot,Cerabolini/Pierce,annual,forb,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,38.86,0.00,61.14
Indigofera arrecta Hochst. ex A. Rich. ,Fabaceae,Fabales,Rosanae,Dicot,Buffa/Nyakunga,perennial,shrub,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,5,28.70,37.98,33.32
Inga acuminata Benth.,Fabaceae,Fabales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,48.15,38.80,13.05
Inga capitata Desv.,Fabaceae,Fabales,Rosanae,Dicot,Pinho,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.07,46.65,11.28
Inga cayennensis Sagot ex Benth.,Fabaceae,Fabales,Rosanae,Dicot,Pinho,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,38.51,48.86,12.63
Inga cocleensis Pittier,Fabaceae,Fabales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,65.27,28.69,6.04
Inga goldmanii Pittier,Fabaceae,Fabales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,74.36,19.97,5.67
Inga laurina (Sw.) Willd.,Fabaceae,Fabales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,5,47.27,46.81,5.92
Inga marginata Willd.,Fabaceae,Fabales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,4,45.85,45.41,8.73
Inga mucuna Walp. & Duchass.,Fabaceae,Fabales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73.89,15.44,10.67
Inga nobilis Willd.,Fabaceae,Fabales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,4,60.57,33.57,5.86
Inga pezizifera Benth.,Fabaceae,Fabales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59.64,29.98,10.38
Inga punctata Willd.,Fabaceae,Fabales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,4,58.73,37.08,4.19
Inga ruiziana G. Don,Fabaceae,Fabales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,73.79,21.99,4.22
