id,latitude,longitude,FT,LA,LDMC,SLA,S,C,R,Strategy,color,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
6242,55.7,13.2,78.5,508.2483785,138.0698155,41.57641326,0,21.65922217,78.34077783,R/CR,#27012A,79,61,26,6160,202,-27,229,153,25,160,5,645,67,34,22,197,113,185,152
6243,55.95,13.85,51.25,530.9018525,92.08623835,47.2481225,0,20.74386633,79.25613367,R/CR,#25012C,71,60,25,6179,197,-34,231,146,17,153,-3,681,74,38,21,208,122,196,163
6244,62.9169,18.4728,86.75,263.5777639,242.7851215,23.48131529,41.43920839,13.16361586,45.39717575,SR/CSR,#120306,32,83,24,8684,205,-129,334,133,-35,146,-79,643,74,37,25,206,114,184,144
6709,47.6479,-122.305,49.25,564.9975008,75.28483611,61.93422937,0,18.91780109,81.08219891,R/CR,#200131,110,83,37,4835,237,17,220,56,173,173,52,964,147,22,54,433,92,92,393
6730,51.4083,-0.6383,55.5,483.1424797,94.65152034,50.87216263,0,19.06639147,80.93360853,R/CR,#210130,98,79,34,5256,225,-4,229,40,61,166,31,707,72,43,15,210,152,160,184
6897,45,1.3,62.75,524.0363815,140.0112905,33.96030338,0,24.62680745,75.37319255,R/CR,#2F0122,118,106,41,5478,259,3,256,55,82,188,46,889,92,56,12,249,202,207,239
6898,47.3833,5.31667,64.75,473.907834,110.4571221,47.63381083,0,19.48970436,80.51029564,R/CR,#22012F,106,89,34,6300,249,-12,261,186,68,186,23,798,78,52,13,212,168,212,195
6899,49,11,34,269.1909833,86.63153418,72.73716199,0,11.56843616,88.43156384,R,#0D0143,75,86,31,6721,221,-49,270,159,-1,159,-14,788,96,47,25,273,153,273,160
69,48.2667,-4.58333,39.75,378.7745354,80.27595963,71.25832249,0,14.34467237,85.65532763,R,#15013C,113,63,39,3558,200,39,161,77,157,159,68,1100,140,47,32,399,169,199,378
6900,63.324,18.484,111.5419649,244.9578132,265.5484829,15.65054333,57.98602954,14.15105564,27.86291483,S/CSR,#140D50,28,85,24,8846,205,-138,343,130,-38,144,-85,617,72,35,24,201,108,185,135
6901,63.324,18.484,104.8752983,237.9665582,235.7723317,19.48276103,44.32859992,14.15118721,41.52021287,SR/CSR,#140504,28,85,24,8846,205,-138,343,130,-38,144,-85,617,72,35,24,201,108,185,135
6903,49.4013,16.2326,57.5,589.7698966,92.19662296,52.39116822,0,20.82050185,79.17949815,R/CR,#25012C,73,86,30,6987,222,-59,281,159,-7,159,-20,626,88,30,40,251,93,251,97
6904,49.2,16.6166,59.25,546.3079863,172.0268147,29.6184422,4.90334929,25.99086715,69.10578355,R/CR,#320919,89,91,30,7319,246,-49,295,179,6,179,-9,519,76,23,42,210,73,210,76
6906,40.2077,-8.42639,31.25,209.3214187,81.31357913,74.78446092,0,9.679873255,90.32012674,R,#090147,159,101,43,4309,289,58,231,103,212,214,103,951,133,10,53,382,64,68,382
6907,51.4083,-0.6383,58.88462564,448.7207736,112.7054415,41.67959035,0,20.2942524,79.7057476,R/CR,#24012D,98,79,34,5256,225,-4,229,40,61,166,31,707,72,43,15,210,152,160,184
6911,15.1111,-23.6167,32,123.7222855,95.94104687,72.00931539,0,6.598548066,93.40145193,R,#01014F,224,70,63,1454,278,167,111,243,215,243,206,357,145,0,151,306,0,306,5
6913,62.877,18.177,114.5419649,115.0278924,240.8609901,18.87436821,49.78202434,8.240218932,41.97775673,SR,#050805,31,82,24,8610,203,-129,332,132,-35,144,-79,660,75,38,24,210,117,188,148
6914,62.877,18.177,63,387.5328478,125.1969308,38.24850846,0,19.69866242,80.30133758,R/CR,#22012F,31,82,24,8610,203,-129,332,132,-35,144,-79,660,75,38,24,210,117,188,148
6915,50.3,6.3,55,531.7128277,93.80674115,50.99809973,0,20.01039137,79.98960863,R/CR,#23012E,74,68,30,5678,193,-29,222,10,34,145,1,1022,113,67,14,297,219,276,282
6916,58.3,25.3,30,219.207277,97.15331138,70.62921707,0,10.24154842,89.75845158,R,#0A0146,53,67,22,8320,211,-92,303,63,-16,159,-53,632,74,28,30,214,97,181,128
6917,63.0165,18.3174,113.5419649,215.9942301,214.3714407,15.87417571,43.28009012,17.57727444,39.14263544,SR/CSR,#1D0401,33,83,24,8710,206,-129,335,134,-34,147,-79,636,73,36,24,204,112,184,141
6919,50.3,8,53.25,536.5826538,92.78676358,56.20262433,0,19.22377201,80.77622799,R/CR,#210130,85,78,31,6166,220,-26,246,163,43,163,5,710,69,46,13,205,144,205,173
6920,51.5338,9.9355,92.25,251.799763,184.2877708,25.36226616,15.71760249,17.29446075,66.98793676,R/CR,#1C1516,85,86,34,6148,218,-32,250,162,12,162,4,651,79,38,23,221,123,221,138
6921,51.5338,9.9355,69.75,468.992107,126.2966146,33.27998989,0,23.61244091,76.38755909,R/CR,#2C0125,85,86,34,6148,218,-32,250,162,12,162,4,651,79,38,23,221,123,221,138
6922,50.3,8,27.25,NA,92.36419128,NA,NA,NA,NA,#VALUE!,#362756,85,78,31,6166,220,-26,246,163,43,163,5,710,69,46,13,205,144,205,173
6923,51.4083,-0.6383,60.75,496.2789987,104.8993939,50.25786289,0,19.4476777,80.5523223,R/CR,#22012F,98,79,34,5256,225,-4,229,40,61,166,31,707,72,43,15,210,152,160,184
6924,51.4083,-0.6383,55,494.5519994,86.56280074,47.30659959,0,19.99387874,80.00612126,R/CR,#23012E,98,79,34,5256,225,-4,229,40,61,166,31,707,72,43,15,210,152,160,184
6927,41.2816,-86.621,87.75,453.6974774,224.5828417,23.7223554,33.68006671,19.4750849,46.84484838,SR/CSR,#222307,97,115,29,9670,292,-97,389,216,-34,216,-34,975,109,46,23,305,166,305,166
6928,41.2816,-86.621,69.75,525.1878728,160.4506738,32.16473372,0,25.47442812,74.52557188,R/CR,#310120,97,115,29,9670,292,-97,389,216,-34,216,-34,975,109,46,23,305,166,305,166
6929,38.48,68.49,60.5,684.8418724,102.1873959,36.35347881,0,26.84080968,73.15919032,R/CR,#34011D,139,128,34,8276,341,-27,368,88,233,246,31,558,115,0,79,280,5,8,199
6930,49.5,73.1,51.25,499.2076069,81.89585604,56.71985743,0,18.43949659,81.56050341,R/CR,#1F0132,26,113,24,13016,270,-200,470,170,-128,188,-142,299,38,17,28,105,53,95,57
6931,49.5,73.1,49.75,486.3066086,78.49993506,56.69652336,0,18.19034129,81.80965871,R/CR,#1E0133,26,113,24,13016,270,-200,470,170,-128,188,-142,299,38,17,28,105,53,95,57
6933,41.59,2.49,54,600.892028,75.45212089,58.82559315,0,19.95631529,80.04368471,R/CR,#23012E,144,70,31,5354,265,43,222,192,214,215,80,770,98,38,23,244,161,184,163
6936,46,3.3,59.5,478.9862544,112.883358,43.61400148,0,20.49482601,79.50517399,R/CR,#24012D,106,104,39,5844,252,-13,265,163,43,181,31,699,85,40,26,223,125,219,132
6937,49,9.3,60.25,514.1051132,121.2345764,35.59080127,0,23.73805122,76.26194878,R/CR,#2D0124,98,89,33,6456,240,-22,262,179,26,179,14,669,86,39,27,231,120,231,128
6938,55.7522,37.6322,63.5,507.8678649,138.9710499,34.76445507,0,23.92230261,76.07769739,R/CR,#2D0124,49,77,21,9820,233,-122,355,173,-16,173,-79,678,89,33,30,242,110,242,131
6939,32.34,22.46,32.25,176.6472215,81.59898332,80.40301838,0,8.319189206,91.68081079,R,#05014B,174,108,47,4493,285,59,226,115,226,229,115,134,34,0,95,85,0,1,85
6940,50.3,8.3,28.25,128.7380653,105.7631219,69.32913538,0,6.941415755,93.05858424,R,#02014E,82,78,31,6229,219,-29,248,161,40,161,2,748,72,48,12,211,154,211,182
6942,50,10,27.75,179.0363606,74.30272458,54.84557857,0,10.02568306,89.97431694,R,#0A0146,88,90,32,6701,238,-35,273,172,13,172,0,637,74,38,18,199,128,199,139
