id,Name,Country,Latitude (º),Longitude (º),Altitude (meters),drought_index,PC1,PC2,PC3,Group,Survival_insitu_Madrid,Survival_insitu_Tübingen
8240,Kulturen-1,SWE,55.705,13.196,40,-0.000681812,0.0122287,-0.00625461,-0.00807949,SESweden,0.8,1
8241,Liarum,SWE,55.9473,13.821,136,NA,0.0131215,-0.00190415,-0.000399281,SESweden,NA,NA
8242,LillÌ¦-1,SWE,56.1494,15.7884,2,NA,0.0106255,-0.00329107,-0.00332344,SESweden,NA,NA
8243,PHW-2,ITA,43.7703,11.2547,61,NA,0.0112517,-0.0225014,0.0175647,CEurope,NA,NA
8244,PHW-34,FRA,48.6103,2.3086,77,NA,0.00871354,-0.0223118,0.00697258,CEurope,NA,NA
8246,NC-6,USA,35,-79.18,77,NA,0.0113552,-0.0166481,-0.000435217,NEEurope,NA,NA
8247,San-2,SWE,56.07,13.74,69,0.000298662,0.0120447,-0.0108744,-0.0148506,SWSweden,0.166666667,1
8249,Vimmerby,SWE,57.7,15.8,118,0.000521195,0.01031,0.00623616,-0.00992074,SESweden,0.428571429,1
8256,BÌ´1-2,SWE,56.4,12.9,187,NA,0.0106398,-0.00753128,-0.00281404,CEurope,NA,NA
8264,Bla-1,ESP,41.6833,2.8,6,NA,0.00202205,-0.0277354,0.00189508,NESpain,NA,NA
8283,Dra3-1,SWE,55.76,14.12,80,NA,0.0118794,-0.00443174,-0.00378017,SESweden,NA,NA
8285,DraIII-1,CZE,49.4112,16.2815,497,NA,0.0146817,-0.00229733,0.0154702,EEurope,NA,NA
8306,Hov4-1,SWE,56.1,13.74,59,NA,0.0130556,-0.00838262,-0.00419029,SESweden,NA,NA
8307,Hovdala-6,SWE,56.1,13.74,59,NA,0.011852,-0.00556833,-0.00365864,SESweden,NA,NA
8311,In-0,AUT,47.5,11.5,1849,7.97E-05,0.0113768,-0.00278386,0.0171782,EEurope,0.428571429,1
8312,Is-0,GER,50.5,7.5,259,0.00028386,0.0120275,-0.0129979,0.00756285,CEurope,0,0.571428571
8326,Lis-1,SWE,56.0328,14.775,2,NA,0.0126317,-0.000834331,-0.00439961,SESweden,NA,NA
8334,Lu-1,SWE,55.71,13.2,70,NA,0.0108071,-0.0042207,0.00104776,EEurope,NA,NA
8335,Lund,SWE,55.71,13.2,70,NA,0.0128582,-0.0137116,-0.030624,SWSweden,NA,NA
8337,Mir-0,ITA,44,12.37,120,NA,0.0114649,-0.0215342,0.0178647,CEurope,NA,NA
8343,Na-1,FRA,47.5,1.5,115,NA,0.0122852,-0.0105902,0.00425004,CEurope,NA,NA
8351,Ost-0,SWE,60.25,18.37,15,0.000678044,0.0072693,0.0191997,-0.0617926,NSweden,0.666666667,1
8354,Per-1,RUS,58,56.3167,141,-0.000308752,0.00937753,0.0723917,0.0326594,Asia,0.666666667,0.857142857
8357,Pla-0,ESP,41.5,2.25,293,0.000274726,0.00171474,-0.0289082,0.00164168,NESpain,0.333333333,1
8365,Rak-2,CZE,49,16,351,NA,0.0144898,-0.00373798,0.0153599,EEurope,NA,NA
8366,Rd-0,GER,50.5,8.5,277,NA,0.013479,-0.00857692,0.00850035,CEurope,NA,NA
8369,Rev-1,SWE,55.6942,13.4504,29,NA,0.0130365,-0.0103857,-0.0253979,SWSweden,NA,NA
8376,Sanna-2,SWE,62.69,18,78,0.000723451,0.00684812,0.0376839,-0.0951895,NSweden,0.666666667,1
8386,Sr:5,SWE,58.9,11.2,17,NA,0.0139176,-0.000754324,0.0177002,EEurope,NA,NA
8387,St-0,SWE,59,18,11,-0.000203349,0.0119155,-0.0162626,0.00618245,CEurope,0.6,0.833333333
8419,Wil-1,LTU,54.6833,25.3167,106,NA,0.0130208,0.0199373,0.0153985,EEurope,NA,NA
